imagen 1, 0.64301, 0.97218, 0.87968
imagen 2, 0.68119, 0.96008, 0.8557
imagen 3, 0.69858, 0.91342, 0.83448
imagen 4, 0.72104, 0.89821, 0.82248
imagen 5, 0.67134, 0.94985, 0.89386
imagen 6, 0.68808, 0.92273, 0.84758
imagen 7, 0.81186, 0.88894, 0.92163
imagen 8, 0.64585, 0.91722, 0.81808
imagen 9, 0.64058, 0.94544, 0.70442
imagen 10, 0.70151, 0.87694, 0.83375
imagen 11, 0.71657, 0.86983, 0.89886
imagen 12, 0.72189, 0.93517, 0.89379
imagen 13, 0.6623, 0.92713, 0.81686
imagen 14, 0.69266, 0.89182, 0.87573
imagen 15, 0.69982, 0.89504, 0.85081
imagen 16, 0.77174, 0.85678, 0.87913
imagen 17, 0.81828, 0.85082, 0.93821
imagen 18, 0.70436, 0.91082, 0.87317
imagen 19, 0.69479, 0.88558, 0.87563
imagen 20, 0.67796, 0.88066, 0.8778
imagen 21, 0.77514, 0.92034, 0.91097
imagen 22, 0.7643, 0.88979, 0.87283
imagen 23, 0.73402, 0.84514, 0.8891
imagen 24, 0.72712, 0.88029, 0.88508
imagen 25, 0.72223, 0.87848, 0.87669
imagen 26, 0.80556, 0.94495, 0.94341
imagen 27, 0.75118, 0.91408, 0.91443
imagen 28, 0.73158, 0.88437, 0.87581
imagen 29, 0.69138, 0.94115, 0.88137
imagen 30, 0.74268, 0.90558, 0.88829
