c1	c2	c3	c4	c5	c6	c7	c8	clase
0.968047337278	541.0	17.0	2293.2203874	0.956568047337	226.0	5.0	1599.27956401	0
0.959644970414	724.0	19.0	3335.54136722	0.893905325444	305.0	6.0	2535.59731726	0
0.981893491124	640.0	17.0	3204.35186923	0.989881656805	332.0	6.0	2547.04901501	0
1.02905325444	269.0	7.0	707.128271065	1.03520710059	295.0	9.0	674.931304153	2
1.0375739645	523.0	18.0	2507.09520973	0.980473372781	173.0	4.0	2244.30978362	0
0.959822485207	715.0	20.0	3204.86603895	0.923727810651	269.0	5.0	2427.96129539	0
1.03319526627	373.0	12.0	1658.56803829	0.985207100592	255.0	7.0	1414.34364965	0
1.00384615385	114.0	5.0	533.780627187	1.04076923077	340.0	21.0	631.74058408	1
0.999171597633	123.0	4.0	1863.27370987	0.946390532544	234.0	9.0	2147.84438142	1
0.990355029586	276.0	6.0	1434.10569098	1.03047337278	282.0	7.0	1610.82684885	1
0.975384615385	127.0	5.0	910.882290536	0.932958579882	177.0	8.0	1094.29328153	1
0.907869822485	72.0	4.0	519.602983145	0.958106508876	205.0	15.0	715.157638244	1
1.00455621302	118.0	3.0	1331.50366631	0.952426035503	127.0	4.0	1377.32537557	1
0.99775147929	212.0	5.0	1158.71266298	0.901775147929	238.0	7.0	1422.84441161	1
1.09958579882	126.0	4.0	1526.09248335	1.01857988166	152.0	6.0	1681.02674857	1
1.00343195266	53.0	3.0	483.663619355	1.01710059172	157.0	9.0	783.294127643	1
0.985798816568	222.0	9.0	1306.97168284	1.00656804734	129.0	3.0	1194.73392968	0
0.973786982249	351.0	12.0	1908.94554303	0.977041420118	197.0	4.0	1713.30715511	0
0.894023668639	174.0	7.0	3112.09157237	0.993786982249	137.0	3.0	3042.08710173	0
1.0101183432	96.0	6.0	371.391689941	1.05928994083	42.0	3.0	289.338023529	0
0.886094674556	463.0	15.0	2485.59480675	0.999053254438	278.0	6.0	2202.91835679	0
0.960414201183	505.0	18.0	2225.97994083	1.06633136095	270.0	7.0	1912.46832631	0
1.02804733728	426.0	16.0	3087.54976272	1.03514792899	221.0	8.0	2829.42794719	0
1.08284023669	275.0	12.0	560.97951112	1.01946745562	64.0	4.0	396.293280806	0
0.905976331361	336.0	5.0	275.136149081	1.10816568047	335.0	5.0	258.958082963	0
0.939349112426	271.0	8.0	1605.69167492	0.986923076923	387.0	13.0	1810.33244291	1
1.00556213018	385.0	9.0	950.103007598	1.14923076923	588.0	21.0	1173.91738897	1
0.939822485207	273.0	9.0	1210.09889127	0.895976331361	237.0	9.0	1200.67495582	1
